timestamp_ms,speed_kmh,rpm,accel_x,accel_y,accel_z,roll,pitch,g_force,latitude,longitude,heading,lap,distance_m,faults
0,3.99,2270.3,0.1061,1.7283,9.5894,0.2,-0.01,0.993,12.9716,77.5946,-0.0,0,0.0,0x0
10,7.69,4372.7,-0.0355,1.9725,9.6734,0.42,-0.02,1.006,12.971601,77.5946,-0.8,0,0.0,0x0
20,11.2,6367.5,-0.7259,1.4374,9.7833,0.57,0.07,1.011,12.971602,77.5946,-1.7,0,0.1,0x0
30,14.63,8314.7,-0.2186,1.2231,9.7773,0.7,0.09,1.005,12.971603,77.5946,-0.7,0,0.1,0x0
40,17.83,10136.5,0.0993,1.1228,9.8267,0.79,0.08,1.008,12.971605,77.5946,-2.0,0,0.2,0x0
50,20.83,11841.1,0.0879,1.0338,9.8368,0.88,0.07,1.008,12.971607,77.5946,-2.9,0,0.2,0x0
60,23.9,13584.9,-0.2205,1.5461,9.7913,1.04,0.09,1.011,12.971609,77.5946,-0.3,0,0.3,0x0
70,26.6,15117.5,-0.0761,1.2027,9.9253,1.18,0.1,1.019,12.971611,77.5946,-2.3,0,0.4,0x0
80,29.17,16580.6,-1.6971,1.388,9.7441,1.34,0.31,1.018,12.971614,77.5946,-2.5,0,0.4,0x0
90,31.68,18007.5,-0.2975,1.7973,9.8155,1.52,0.34,1.018,12.971617,77.594599,-3.4,0,0.5,0x0
99,34.11,19391.2,1.0512,1.7234,9.7358,1.69,0.21,1.014,12.97162,77.594599,-1.2,0,0.6,0x0
109,36.33,20652.9,0.6616,1.3159,9.7673,1.82,0.12,1.007,12.971623,77.594599,-1.8,0,0.7,0x0
119,38.39,21819.2,-0.5113,1.2316,9.9779,1.91,0.17,1.026,12.971627,77.594599,-2.8,0,0.8,0x0
129,40.51,23023.8,-0.3917,1.3231,9.75,2.01,0.22,1.004,12.97163,77.594599,-4.5,0,0.9,0x0
139,42.62,24226.9,-0.5096,0.995,9.7249,2.08,0.27,0.998,12.971634,77.594598,-4.9,0,1.1,0x0
150,44.49,25290.0,0.4521,0.8731,9.7658,2.14,0.2,1.001,12.971638,77.594598,-4.8,0,1.2,0x0
160,46.39,26370.4,1.7218,1.3153,9.7329,2.24,-0.02,1.016,12.971642,77.594598,-2.4,0,1.3,0x0
170,48.17,27379.2,-0.0992,1.6821,9.8103,2.4,-0.02,1.015,12.971647,77.594598,-3.7,0,1.4,0x0
180,49.65,28220.1,-0.1759,1.4651,9.7809,2.51,0.02,1.008,12.971651,77.594597,-3.5,0,1.6,0x0
190,51.11,29052.1,-0.4835,1.3597,9.7565,2.63,0.08,1.005,12.971656,77.594597,-0.6,0,1.7,0x0
200,52.66,29933.6,0.3809,1.3488,9.796,2.74,0.03,1.009,12.97166,77.594597,0.5,0,1.9,0x0
210,54.19,30802.0,0.5273,1.538,9.6849,2.86,-0.05,1.001,12.971665,77.594597,2.0,0,2.0,0x0
220,55.61,31608.4,0.4842,1.6823,10.0052,3.0,-0.09,1.035,12.97167,77.594598,5.4,0,2.2,0x0
230,56.87,32323.3,-0.0719,1.6274,9.7156,3.14,-0.08,1.004,12.971675,77.594598,3.3,0,2.3,0x0
240,58.01,32976.3,-0.8449,1.383,9.6866,3.25,0.03,1.001,12.97168,77.594599,4.4,0,2.5,0x0
250,59.05,33563.3,-0.8182,1.8758,9.7383,3.41,0.13,1.014,12.971686,77.594599,4.7,0,2.7,0x0
260,60.11,34166.4,-0.0737,1.3127,9.8279,3.49,0.13,1.011,12.971691,77.5946,4.4,0,2.8,0x0
270,61.08,34719.4,-0.484,1.9664,9.6425,3.65,0.19,1.004,12.971697,77.5946,8.5,0,3.0,0x0
280,62.14,35320.9,-0.4659,1.6933,9.7082,3.79,0.24,1.006,12.971702,77.594601,10.1,0,3.2,0x0
290,63.13,35886.4,-0.2452,2.3859,9.763,3.98,0.27,1.025,12.971708,77.594603,13.0,0,3.3,0x0
300,64.11,36439.1,-0.3066,1.5529,9.796,4.07,0.3,1.012,12.971713,77.594604,13.1,0,3.5,0x0
310,64.86,36867.8,1.2689,1.8986,9.6826,4.23,0.15,1.014,12.971719,77.594605,6.8,0,3.7,0x0
320,65.68,37333.0,-0.2684,1.164,9.8439,4.3,0.17,1.011,12.971725,77.594605,4.4,0,3.9,0x0
330,66.5,37800.1,-0.5835,1.1744,9.7759,4.37,0.26,1.005,12.971731,77.594605,0.6,0,4.1,0x0
340,67.17,38179.0,0.0166,1.585,9.7754,4.48,0.23,1.009,12.971737,77.594606,4.2,0,4.3,0x0
350,67.79,38531.4,0.1476,1.4271,9.7976,4.54,0.22,1.009,12.971743,77.594606,3.9,0,4.4,0x0
360,68.64,39016.4,-0.1589,1.1492,9.693,4.59,0.24,0.995,12.971749,77.594606,1.7,0,4.6,0x0
370,69.12,39288.4,0.6535,0.777,9.9165,4.58,0.16,1.016,12.971755,77.594606,-0.9,0,4.8,0x0
380,69.61,39564.2,1.0165,2.1063,9.8814,4.72,0.03,1.035,12.971762,77.594606,-0.2,0,5.0,0x0
390,70.36,39993.9,0.8033,1.4213,9.9073,4.77,-0.07,1.024,12.971768,77.594606,-1.5,0,5.2,0x0
400,71.14,40434.4,0.7448,1.3359,9.9649,4.83,-0.14,1.028,12.971774,77.594606,-2.5,0,5.4,0x0
410,71.44,40606.9,0.0774,1.5443,9.834,4.89,-0.15,1.015,12.971781,77.594605,-6.2,0,5.6,0x0
420,71.87,40852.4,-0.4969,1.8162,9.8093,4.99,-0.08,1.018,12.971787,77.594604,-8.4,0,5.8,0x0
430,72.39,41149.5,0.2799,1.5995,9.9513,5.08,-0.09,1.028,12.971793,77.594603,-7.0,0,6.0,0x0
440,72.93,41456.9,1.3713,1.2492,9.9858,5.13,-0.25,1.035,12.9718,77.594602,-7.6,0,6.2,0x0
450,73.19,41600.4,0.6056,1.4506,9.7642,5.19,-0.31,1.008,12.971806,77.594601,-9.2,0,6.4,0x0
460,73.62,41844.8,0.4029,1.4942,10.0081,5.27,-0.35,1.032,12.971813,77.5946,-10.6,0,6.6,0x0
470,74.0,42060.1,0.438,1.6596,9.9742,5.38,-0.39,1.032,12.971819,77.594599,-9.0,0,6.8,0x0
480,74.49,42340.0,-0.8954,1.3029,9.9499,5.42,-0.28,1.027,12.971826,77.594598,-5.8,0,7.0,0x0
490,74.82,42526.0,0.0577,1.5789,9.9428,5.5,-0.28,1.026,12.971833,77.594598,-4.8,0,7.2,0x0
500,75.24,42768.4,0.2888,1.7629,9.9972,5.58,-0.3,1.035,12.97184,77.594597,-6.5,0,7.4,0x0
510,75.67,43010.2,-0.1354,1.7794,9.616,5.68,-0.27,0.997,12.971846,77.594596,-6.0,0,7.7,0x0
520,76.11,43258.9,0.1017,1.04,9.8622,5.7,-0.27,1.011,12.971853,77.594595,-6.3,0,7.9,0x0
530,76.57,43523.7,0.1191,1.5892,9.888,5.77,-0.27,1.021,12.97186,77.594595,-3.5,0,8.1,0x0
540,76.79,43647.3,0.5095,1.3702,9.8487,5.81,-0.32,1.015,12.971867,77.594595,-2.7,0,8.3,0x0
550,77.15,43851.8,0.6638,1.2465,9.7585,5.82,-0.4,1.005,12.971874,77.594594,-3.9,0,8.5,0x0
560,77.26,43913.7,0.3625,1.3953,9.9847,5.86,-0.43,1.028,12.971881,77.594594,-2.9,0,8.7,0x0
570,77.41,43999.3,0.832,1.697,9.7891,5.94,-0.52,1.016,12.971888,77.594593,-6.4,0,8.9,0x0
580,77.57,44094.1,0.2423,0.6109,9.9471,5.9,-0.54,1.016,12.971895,77.594592,-5.1,0,9.2,0x0
590,77.87,44263.5,0.2104,1.6327,9.8677,5.98,-0.57,1.02,12.971902,77.594592,-2.8,0,9.4,0x0
600,78.08,44382.7,0.9434,1.5434,9.9255,6.04,-0.67,1.028,12.971909,77.594591,-5.3,0,9.6,0x0
610,78.31,44510.0,0.3302,1.2471,9.8051,6.07,-0.69,1.008,12.971915,77.59459,-8.1,0,9.8,0x0
620,78.52,44633.0,0.6228,1.6833,9.703,6.15,-0.74,1.006,12.971922,77.594589,-9.8,0,10.0,0x0
630,79.0,44902.5,1.4232,1.4764,9.915,6.2,-0.88,1.032,12.971929,77.594588,-9.3,0,10.2,0x0
640,79.24,45038.8,0.0843,0.9852,9.752,6.21,-0.86,0.999,12.971936,77.594587,-8.1,0,10.5,0x0
650,79.36,45111.4,0.0256,1.1443,9.676,6.21,-0.85,0.993,12.971944,77.594586,-7.4,0,10.7,0x0
660,79.51,45195.0,-0.231,0.7896,9.79,6.2,-0.81,1.001,12.971951,77.594585,-5.8,0,10.9,0x0
670,79.58,45234.6,0.1173,1.4649,9.733,6.24,-0.81,1.003,12.971958,77.594584,-5.8,0,11.1,0x0
680,79.55,45218.2,0.3378,0.944,9.7049,6.23,-0.82,0.995,12.971965,77.594583,-11.1,0,11.3,0x0
690,79.63,45262.3,0.2638,1.6006,9.8032,6.32,-0.84,1.013,12.971972,77.594581,-14.0,0,11.6,0x0
700,79.72,45313.9,0.9261,1.4059,9.9511,6.36,-0.94,1.029,12.971979,77.594579,-15.3,0,11.8,0x0
710,80.01,45476.5,0.4759,1.3976,9.9547,6.39,-0.98,1.026,12.971986,77.594577,-14.8,0,12.0,0x0
720,80.16,45563.8,0.2258,1.2507,9.9098,6.41,-0.99,1.018,12.971992,77.594575,-16.8,0,12.2,0x0
730,80.08,45520.7,0.3724,1.7122,9.8859,6.48,-1.01,1.023,12.971999,77.594573,-17.8,0,12.5,0x0
740,80.19,45583.0,0.7029,1.5277,9.8774,6.53,-1.07,1.021,12.972006,77.594571,-17.5,0,12.7,0x0
750,80.19,45580.3,1.0588,1.5524,9.7509,6.57,-1.15,1.012,12.972013,77.594569,-15.8,0,12.9,0x0
760,80.22,45597.0,0.0437,1.5536,9.7482,6.6,-1.12,1.006,12.97202,77.594567,-16.9,0,13.1,0x0
770,80.25,45617.6,0.8644,1.5902,9.8279,6.66,-1.21,1.019,12.972027,77.594565,-16.6,0,13.3,0x0
780,80.4,45701.3,0.3761,1.4308,9.8362,6.69,-1.23,1.014,12.972034,77.594563,-12.1,0,13.6,0x0
